SOC Code,Blind Employed,Occupational Title_IDB,Occupational Title_BLS,Active Learning_IM,Active Learning_LV,Active Listening_IM,Active Listening_LV,Complex Problem Solving_IM,Complex Problem Solving_LV,Coordination_IM,Coordination_LV,Critical Thinking_IM,Critical Thinking_LV,Equipment Maintenance_IM,Equipment Maintenance_LV,Equipment Selection_IM,Equipment Selection_LV,Installation_IM,Installation_LV,Instructing_IM,Instructing_LV,Judgment and Decision Making_IM,Judgment and Decision Making_LV,Learning Strategies_IM,Learning Strategies_LV,Management of Financial Resources_IM,Management of Financial Resources_LV,Management of Material Resources_IM,Management of Material Resources_LV,Management of Personnel Resources_IM,Management of Personnel Resources_LV,Mathematics_IM,Mathematics_LV,Monitoring_IM,Monitoring_LV,Negotiation_IM,Negotiation_LV,Operation and Control_IM,Operation and Control_LV,Operations Analysis_IM,Operations Analysis_LV,Operations Monitoring_IM,Operations Monitoring_LV,Persuasion_IM,Persuasion_LV,Programming_IM,Programming_LV,Quality Control Analysis_IM,Quality Control Analysis_LV,Reading Comprehension_IM,Reading Comprehension_LV,Repairing_IM,Repairing_LV,Science_IM,Science_LV,Service Orientation_IM,Service Orientation_LV,Social Perceptiveness_IM,Social Perceptiveness_LV,Speaking_IM,Speaking_LV,Systems Analysis_IM,Systems Analysis_LV,Systems Evaluation_IM,Systems Evaluation_LV,Technology Design_IM,Technology Design_LV,Time Management_IM,Time Management_LV,Troubleshooting_IM,Troubleshooting_LV,Writing_IM,Writing_LV,Employment,Projected Employment,Projected Growth,Projected Growth Text,Projected Annual Job Openings
11-3031.03,0,,Investment Fund Managers,3.75,3.88,4.0,4.12,3.75,3.88,3.12,3.12,4.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.88,3.88,4.25,2.88,3.12,2.75,3.0,2.25,2.12,2.88,3.38,3.38,3.62,3.5,4.0,3.0,3.5,1.0,0.0,2.0,1.62,1.88,1.5,3.12,3.5,1.75,1.12,1.5,0.75,4.0,4.25,1.0,0.0,1.0,0.0,2.88,3.0,3.0,3.38,3.88,4.12,3.38,3.75,3.25,3.75,1.88,1.38,3.25,3.88,1.0,0.0,3.62,3.88,792600,919200,16.0,Much faster than average,69600
11-3051.00,1,Industrial Production Manager,Industrial Production Managers,3.62,4.0,3.88,4.0,3.62,3.88,4.0,4.0,4.0,4.0,2.0,1.38,2.12,2.0,1.0,0.0,3.12,3.62,4.0,4.38,3.75,4.0,3.38,4.0,3.25,4.0,3.88,4.25,3.38,3.75,4.0,4.88,3.25,3.75,2.75,3.12,2.88,2.88,3.12,3.5,3.12,3.62,1.62,0.75,3.12,3.88,3.88,4.0,2.12,1.62,1.62,1.12,3.0,3.12,3.5,3.88,4.0,4.0,3.75,3.88,3.38,3.75,1.62,1.12,3.88,4.12,2.25,2.25,3.38,4.0,222100,225700,2.0,Average,15300
11-3051.01,0,,Quality Control Systems Managers,3.62,4.12,3.88,4.12,3.75,4.12,3.75,3.88,3.75,4.12,1.88,1.5,2.0,1.38,1.0,0.0,3.25,3.62,4.0,4.12,3.12,3.38,2.75,3.0,2.75,2.75,3.25,3.5,3.12,3.25,3.88,4.5,3.0,3.12,2.88,3.0,2.75,3.0,3.25,3.5,3.25,3.5,1.88,1.25,4.0,4.12,4.0,4.12,1.75,1.12,2.25,2.25,3.0,3.25,3.25,3.75,3.88,4.12,3.62,3.88,3.75,4.0,2.12,1.62,3.5,3.75,2.75,2.75,3.88,4.0,222100,225700,2.0,Average,15300
11-3051.02,0,,Geothermal Production Managers,3.5,3.25,3.62,3.62,3.62,3.62,3.75,3.62,4.0,3.88,2.5,2.75,2.25,2.62,1.0,0.0,3.25,3.5,3.75,3.62,3.25,3.38,3.25,3.75,3.12,3.25,3.62,3.88,3.25,3.75,3.88,4.38,3.0,3.38,2.88,2.88,2.0,2.38,3.25,3.5,3.0,3.38,1.88,1.25,3.12,2.88,3.88,4.25,2.75,3.0,2.38,2.5,2.88,3.0,3.5,3.62,3.88,4.0,3.25,3.62,3.25,3.75,2.0,1.88,3.62,3.88,2.88,3.12,3.62,3.75,222100,225700,2.0,Average,15300
11-3051.03,0,,Biofuels Production Managers,3.25,3.62,3.75,3.88,3.38,3.75,3.62,4.0,3.88,3.88,1.5,0.75,1.25,0.38,1.0,0.0,3.25,3.62,3.5,3.88,3.38,3.5,3.0,3.12,2.75,3.0,3.88,3.62,3.0,3.25,3.75,3.88,3.0,3.25,3.12,3.38,2.12,2.0,3.0,3.5,3.12,3.38,2.12,1.62,2.62,3.12,3.88,4.0,1.12,0.12,3.0,3.5,3.25,3.25,3.38,3.75,3.62,4.0,3.25,3.5,3.0,3.38,1.88,1.5,3.5,3.75,2.25,2.0,3.5,3.5,222100,225700,2.0,Average,15300
11-3051.04,0,,Biomass Power Plant Managers,3.12,3.38,3.88,3.88,3.75,3.75,3.75,4.0,4.0,4.0,2.38,2.75,2.12,2.0,1.0,0.0,3.25,3.5,3.75,3.88,3.0,3.12,3.12,3.62,3.12,3.62,3.75,4.12,3.0,3.25,3.88,4.62,2.88,2.88,3.0,3.0,2.12,2.12,3.38,3.88,3.0,3.25,1.62,0.88,3.12,3.25,3.88,4.25,2.25,2.75,2.5,2.5,2.75,2.75,3.25,3.62,4.0,4.0,3.12,3.75,3.12,3.75,1.62,0.75,3.62,3.75,3.0,3.0,3.12,3.75,222100,225700,2.0,Average,15300
11-3051.06,0,,Hydroelectric Production Managers,3.62,3.62,4.12,4.0,3.62,3.75,3.5,3.75,3.75,4.0,2.75,2.62,2.12,1.88,1.25,0.38,3.38,3.88,3.88,3.88,3.62,3.75,3.0,3.38,3.0,3.38,3.75,3.75,3.25,3.5,3.88,3.75,3.25,3.62,3.25,3.25,2.12,2.0,3.38,3.62,3.38,3.5,2.12,1.38,3.25,3.38,3.88,4.12,2.38,2.75,3.25,3.25,3.38,3.38,3.25,3.62,4.12,4.12,3.38,3.38,3.38,3.5,1.88,1.38,3.75,3.75,2.75,3.0,3.5,3.88,222100,225700,2.0,Average,15300
11-3061.00,0,,Purchasing Managers,3.25,3.75,4.0,4.0,3.5,3.25,3.75,3.88,3.75,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.38,3.88,3.75,3.75,3.0,3.75,3.25,3.62,3.25,3.88,4.0,4.0,3.12,3.12,3.88,4.0,3.88,4.0,1.0,0.0,2.62,2.75,2.0,1.88,3.62,4.12,1.88,1.25,2.12,1.75,3.88,4.0,1.0,0.0,1.0,0.0,3.5,3.88,3.88,4.0,4.0,4.0,3.5,3.88,3.12,3.75,1.88,1.38,3.88,4.0,2.0,1.12,3.88,4.0,77500,80900,4.0,Average,6100
11-3071.00,0,,"Transportation, Storage, and Distribution Managers",3.29,3.66,3.84,3.96,3.71,3.5,3.84,4.0,3.92,4.08,1.0,0.0,1.13,0.17,1.0,0.0,3.12,3.25,3.54,3.63,3.08,3.38,3.04,3.33,3.0,3.17,3.58,3.79,3.08,3.17,3.88,4.13,3.46,3.58,2.04,1.83,2.83,2.96,2.42,2.29,3.42,3.58,1.46,0.58,2.29,1.96,3.87,4.0,1.04,0.08,1.42,0.46,3.04,3.21,3.29,3.67,3.92,3.96,3.25,3.46,3.29,3.67,1.62,0.79,3.54,3.88,1.79,1.0,3.62,3.67,177700,192300,8.0,Faster than average,15900
11-3071.04,0,,Supply Chain Managers,3.75,3.75,4.0,4.0,3.88,4.0,4.0,4.0,3.88,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.12,3.25,4.0,4.0,3.0,3.25,2.88,3.0,3.75,3.75,3.25,3.88,3.0,3.0,4.0,4.12,3.75,3.75,1.0,0.0,2.5,2.38,2.25,1.88,3.62,3.62,1.62,0.88,2.0,1.62,4.0,4.0,1.0,0.0,1.12,0.38,3.12,3.12,3.75,3.88,4.0,4.0,3.75,3.75,3.88,3.88,2.12,1.38,4.0,4.0,1.62,0.88,3.88,4.0,177700,192300,8.0,Faster than average,15900
